Date,BLV,BSV,VCLT,VCSH,VGSH
7/31/2013,0.001662028,0.000747003,0.002340017,0.000653838,1.65E-05
08/01/2013,-0.011773916,-0.00155907,-0.011937786,-0.001761345,-0.000986355
08/02/2013,0.005766962,0.002244181,0.008576305,0.002641206,0.000657703
08/05/2013,-0.005164734,-0.000124362,-0.007121524,-0.0001257,0.000328652
08/06/2013,0.000842629,-0.00037372,0.000121057,-0.000628365,0.000164157
08/07/2013,0.005638738,0,0.004833196,0,0.000164609
08/08/2013,0.001553921,0.00037372,0.002407296,0.000376933,0.000163734
08/09/2013,0.000597174,0.000124362,0.002642311,0.000502351,-0.000328343
08/12/2013,-0.002869776,-0.00037379,-0.006014944,-0.000125218,-0.000164157
8/13/2013,-0.010469825,-0.001744418,-0.011404626,-0.002138076,-0.000328652
8/14/2013,-0.000120677,0.000373652,-0.001465074,-0.000376879,0.000164543
8/15/2013,-0.011560607,-0.001498614,-0.011183187,-0.002143168,-0.000657594
8/16/2013,-0.007371241,-0.000374447,-0.005576536,-0.000883736,0.000328888
8/19/2013,-0.006804632,-0.000750431,-0.006608047,-0.000252516,-0.000658032
8/20/2013,0.006558219,0.001124879,0.006980493,0.001640398,0.000164493
8/21/2013,-0.007303463,-0.002251142,-0.010740649,-0.003031109,-0.000164493
8/22/2013,0.004956925,-0.000249772,0.008627086,-0.001645853,-0.000329179
8/23/2013,0.012409001,0.001001607,0.011510583,0.00328908,0
8/26/2013,0.002073652,0.000625413,0.005032748,0.000883736,0.000493672
8/27/2013,0.008855563,0.000499447,0.003909784,0.001134603,0
8/28/2013,-0.005085635,-0.00012537,-0.002808611,0.000252241,-0.000164493
8/29/2013,0.002909169,0.000499818,0.004393795,0.000126206,0
8/30/2013,0.00277988,-0.000124091,0.001112518,-0.000946986,-0.000114988
09/03/2013,-0.010720253,-0.00180268,-0.008588105,-0.000758004,-0.000658892
09/04/2013,-0.003680786,-0.001379376,-0.001356335,-0.001391669,-0.000493895
09/05/2013,-0.012244407,-0.001255164,-0.014040327,-0.002660829,-0.000823713
09/06/2013,0.004717534,0.001506358,0.004120927,0.001015022,0.000988748
09/09/2013,0.002103642,0.001002837,0.002488654,0.00101346,0
09/10/2013,-0.004832178,-0.001379549,-0.006484801,0.000252899,-0.000165035
09/11/2013,0.005820438,0.000878263,0.00809996,0.001011755,0.000658996
09/12/2013,-0.001606458,0.001252193,-0.003730527,0.000127769,-0.000493961
9/13/2013,0.004565429,0.000250808,0.001866618,0.000884402,0.000658333
9/16/2013,-0.004813096,0.00150054,-0.004985405,0.00126267,0.000493766
9/17/2013,0.006412242,0,0.006352464,0.000125386,0.000822303
9/18/2013,0.01270156,0.003494398,0.012707892,0.005035878,0.000985879
9/19/2013,-0.003525756,-0.000747094,-0.000123175,0.001380307,0
9/20/2013,0.003161563,0.000248908,0.001715704,-0.000879186,-0.000164141
9/23/2013,0.003998375,0.00037302,0.001956455,-0.000626592,-0.000328621
9/24/2013,0.007949018,0.000249411,0.009967096,0.000752699,0.000164195
9/25/2013,0.001438101,0.000373357,0.003501013,0.000877881,0.000821143
9/26/2013,-0.003359819,-0.000373357,-0.004832951,-0.000626677,-0.000163913
9/27/2013,-0.000360213,0.000373357,-0.000484588,0.000125578,0.000327726
9/30/2013,-0.001805269,0.000497909,-0.002447937,-0.000125935,-0.000262249
10/01/2013,-0.002130397,-0.000211564,-0.001220307,-0.002138115,-0.000328438
10/02/2013,0.003508324,0.000994949,0.00256086,0.001383942,0.00016403
10/03/2013,-0.000483772,0.000250059,-0.001584256,0.000125797,0.000492738
10/04/2013,0,-0.001120525,0.000731931,-0.000502444,-0.000656768
10/07/2013,0.00144918,0.000248715,0.000974187,0.000376647,0.00016403
10/08/2013,0.000723272,-0.000746989,0.001460495,-0.000502492,-0.000985874
10/09/2013,-0.003018316,0.00037379,-0.003288414,0,0.000821844
10/10/2013,0,0.000124483,0.001949499,0.00100557,-0.000328472
10/11/2013,0.000845864,0.000124146,0.00097346,0.000879433,0.000163936
10/14/2013,-0.006059101,-0.000373026,-0.006100558,-0.001005881,-0.000328305
10/15/2013,0.00060775,-0.000249394,0.001834629,0.000880242,0
10/16/2013,0.010031715,0.000996649,0.009483641,0.000878646,0.001478053
10/17/2013,0.010170937,0.001865392,0.009156297,0.001253015,-0.000164668
10/18/2013,0.001902589,-0.000248525,0.002634318,0.000626453,-0.000492105
10/21/2013,-0.00345141,-0.000124905,0.001434241,-0.00037633,0.000164455
10/22/2013,0.009492992,0.001366795,0.008207158,0.001753645,0.000656242
10/23/2013,0.00259541,-0.000247943,0.001774893,0.000374372,-0.000492367
10/24/2013,-0.00259541,-0.000124664,-0.001419725,0.000249298,0
10/25/2013,0.002830585,0.000124664,0.004135419,0.000625273,0.000163775
10/28/2013,-0.000588809,-0.000372918,-0.002124491,0.000374723,-0.000163775
10/29/2013,-0.002123052,0.000744359,-0.001892718,0.000623831,0
10/30/2013,-0.001299526,0,-0.00094773,0.000748543,0.000492367
10/31/2013,0.000590844,-0.000371441,-0.004016349,2.43E-05,-0.000131347
11/01/2013,-0.009068338,-0.000547835,-0.005029086,-0.001123591,-0.000164387
11/04/2013,-0.001078385,0.000621872,0.000480259,0.000624478,0.000164387
11/05/2013,-0.007818299,-0.00024899,-0.011463248,-0.000124929,-0.000164387
11/06/2013,0,0.001118116,0.000364371,0.001373424,0.000656558
11/07/2013,0.005418937,0.000248596,0.004961268,-0.000500034,-0.000163588
11/08/2013,-0.017203825,-0.001614207,-0.017904252,-0.001623108,-0.000164314
11/11/2013,-0.002324938,0.000123479,-0.002091606,0,0.000491961
11/12/2013,0.001835714,-0.000870337,0.000861768,-0.000749909,-0.000656229
11/13/2013,0.00341741,0.001243344,0.005888665,0.000499693,0.00098432
11/14/2013,0.007163435,0.001365936,0.005003415,0.001749428,0.000163904
11/15/2013,0.001450305,-0.000744916,0.000972298,0.000249779,-0.000163904
11/18/2013,0.005902628,0.000744916,0.005698917,0.000623789,-0.00016406
11/19/2013,-0.004936255,-0.000123831,-0.002057278,-0.000623789,-0.00032809
11/20/2013,-0.013119585,-0.000496189,-0.012311826,0.000249732,0.000656053
11/21/2013,0.001465971,0.000248292,0.002205709,0.000747852,-0.000163904
11/22/2013,0.00705742,0.000247897,0.006100013,-0.000249068,0.000327579
11/25/2013,0.004113724,0.000247632,0.006063382,0.000249068,-0.00065567
11/26/2013,0.0019294,0.000124773,0.003620771,0.001619951,0.000164031
11/27/2013,-0.003499986,-0.000124773,-0.001687946,-0.000747117,0
11/29/2013,0.001449707,0.000496372,0.000993269,0.000485789,-0.000426549
12/02/2013,-0.005482829,-0.001328815,-0.002302259,-0.001746981,0.000164498
12/03/2013,0.001826957,0.000124339,0.000727177,0.000749352,0.000655734
12/04/2013,-0.006959416,-0.000621822,-0.00486054,-0.000749352,-0.000328163
12/05/2013,-0.002207125,-0.000497178,-0.000609268,-0.000375126,-0.000164241
12/06/2013,0.004532215,0.000124114,0.003649802,0.000375126,-0.00016333
12/09/2013,0.002197972,0.000124666,0.003515657,0.000124728,0.00016333
12/10/2013,0.007654013,0.000497505,0.007114813,0.0013734,0.000164241
12/11/2013,-0.00400174,-0.000622171,-0.004696837,-0.001747647,-0.00065652
12/12/2013,-0.001824593,-0.0011201,-0.004598311,-0.000250166,0.000164451
12/13/2013,0.003282154,0.00049811,0.006528062,0.000499685,0
12/16/2013,-0.002065371,0.00012419,0.000963551,0.000499543,0.000492069
12/17/2013,0.00327771,0.00111997,0.001803535,0.001247437,-0.000164241
12/18/2013,-0.001819671,0.000123919,0.001201515,0.000374438,0.000492404
12/19/2013,-0.001214814,-0.00124389,-0.002644416,-0.00199669,-0.000984683
12/20/2013,0.011242815,-0.000746902,0.010653244,-0.000999141,-0.000491877
12/23/2013,-0.003975124,-0.000872055,0,-0.000500354,-0.000328795
12/24/2013,-0.003544441,-0.00025068,-0.00452901,-0.000277034,-0.000262974
12/26/2013,-0.004265176,-0.000876364,-0.003126599,-0.000125197,0.000164261
12/27/2013,-0.003547504,0.000376041,-0.003257713,0.000879085,0.000329177
12/30/2013,0.005377536,0.000626392,0.006624985,0.000752489,0.000492496
12/31/2013,-0.004764878,-0.00012607,-0.003728699,0.000501848,0.000328907
01/02/2014,0.003423916,0.00012607,0.002647238,-0.001003254,-0.000492628
01/03/2014,0.001828731,-0.000376258,0.003958233,0.00037592,-0.000328775
01/06/2014,0.002434099,0.000875611,0.000120178,0.000877409,0
01/07/2014,0.003276373,0.000624799,0.003464876,0.000376388,-0.000329177
01/08/2014,-0.004493291,-0.002000961,-0.004423346,-0.001002502,-0.00065774
01/09/2014,0.004613852,0.00012561,0.005138831,-0.000125809,0
01/10/2014,0.010841748,0.002125383,0.007125717,0.003380553,0.001150895
1/13/2014,0.002394022,0.000874299,0.004251013,-0.000249879,0.000657425
1/14/2014,-0.002274167,-0.000624548,-0.005435304,-0.001000864,-0.000328907
1/15/2014,-0.000359225,-0.000374307,-0.003323054,-0.000750995,-0.001150461
1/16/2014,0.004901742,0.000124557,0.004625763,0.000875952,0.000657966
1/17/2014,0.001311246,0,0.005428384,0.000249868,-0.000164575
1/21/2014,0.002616913,-0.000250032,-0.00070654,-0.000124573,0.000821759
1/22/2014,-0.003928159,0,-0.001532195,-0.000876442,-0.000328409
1/23/2014,0.006893226,0.001623436,0.006465876,0.00050134,0.000656894
1/24/2014,0.004961848,0.000748038,-0.000116224,-0.000251038,-0.000328485
1/27/2014,-0.003186703,-0.000872991,-0.007766077,-0.00075117,0
1/28/2014,0.003423002,0.000374143,0.00741431,0.00250248,0.000164219
1/29/2014,0.005287739,0.001246312,0.005029141,0.000250369,0.00098508
1/30/2014,-0.000351094,-0.000123866,-0.00116751,0,-0.000656153
1/31/2014,0.004795266,0.000996212,0.004660196,0.001372607,0.00082011
02/03/2014,0.009674474,0.001194375,0.011293049,0.001062419,6.58E-05
02/04/2014,-0.005467226,-0.000497112,-0.008111401,-0.000624815,0.000163717
02/05/2014,-0.007609804,-0.000871956,-0.004664584,-0.000124897,0.000164187
02/06/2014,-0.00117568,0.000248746,-0.004452182,0.000623959,-0.000327904
02/07/2014,-0.000588197,0.00062321,0.003633305,0.001248158,0
02/10/2014,0.003290576,0.000248196,0.00128558,-0.000623991,-0.00016424
02/11/2014,-0.003526905,-0.000995271,-0.000350274,-0.000624167,-0.000328065
02/12/2014,-0.004247688,-0.001246856,-0.005390497,-0.000373952,-0.000328596
2/13/2014,0.003187537,0.000747789,0.001526178,0.000748591,0.000492541
2/14/2014,0.001413807,0.000124594,-0.000586443,0,0.00016412
2/18/2014,0.002116256,0.001121548,0.004918696,0.000997724,0.000327958
2/19/2014,-0.003293551,-0.000249591,-0.004918696,-0.00037321,-0.000163717
2/20/2014,-0.001533685,-0.000746812,0.000234554,-0.000999153,-0.000328361
2/21/2014,0.004592793,0.000746812,0.004917866,0.000624167,0.00016412
2/24/2014,-0.000705902,0,-0.002338806,-0.000124756,-0.00016412
2/25/2014,0.005277444,0.000622644,0.007580487,0.000748748,0.000328361
2/26/2014,0.0047846,0.000373798,0.003131925,0.000871597,0.000327904
2/27/2014,0.005107678,0.000248343,0.004506974,0.000622494,0.000656183
2/28/2014,-0.001274459,-0.000124548,0.001497717,0.000125057,-0.000492023
03/03/2014,0.002951089,0.000883581,0.004910967,-0.000261425,0.000442791
03/04/2014,-0.007334983,-0.001120015,-0.009358284,-0.00124787,-0.000820116
03/05/2014,-0.001169274,0.00012436,-0.001626337,-0.000125475,0.00016425
03/06/2014,-0.006336985,-0.000996662,-0.007703229,-0.000499626,0
03/07/2014,-0.006141046,-0.000747688,-0.002933242,-0.001125083,-0.001149487
03/10/2014,0.000355278,-0.000499186,-0.001764335,0.000375597,0.00016443
03/11/2014,0.001893035,0.000499186,0.002351513,-0.000249795,0.000328135
03/12/2014,0.005186238,0.000747688,0.002346064,0.000999281,0.0003288
3/13/2014,0.008546687,0.000996662,0.008168124,-0.000624313,0.000163872
3/14/2014,-0.000349719,0.000125112,0.001625198,0.000125035,0.000328142
3/17/2014,-0.002101321,-0.000747517,-0.004884445,0.0002499,-0.000328142
3/18/2014,0.002800771,0.000622404,0.002445372,-0.0002499,0.00016425
3/19/2014,-0.006077566,-0.003242206,-0.001396604,-0.00237766,-0.001642773
3/20/2014,-0.000586919,-0.000125534,-0.002331843,0.000125087,0
3/21/2014,0.006898164,-0.000374385,0.007558714,0.000501937,0
3/24/2014,0.006271663,-0.000125059,0.006582501,-0.000877826,-0.000657155
3/25/2014,-0.001738103,-0.000250136,-0.001958207,-0.000250513,0.000821868
3/26/2014,0.006704757,0.00074958,0.00609389,0.001002963,0.000493003
