Date,JPM,XOM,PG,D,VZ,EQR,NEM,AAPL,BA,JNJ,NKE
21/05/2013,0.013864315,0.003021859,-0.003673208,-0.000987887,-0.012785105,0.009426869,-0.010589053,-0.007410316,0.000303816,0.006568657,-0.00153193
22/05/2013,0.011439564,-0.006595081,0.000253551,-0.023844655,-0.011590433,-0.027028916,0.00062579,0.00383663,-0.008338372,-0.001468376,-0.012029553
23/05/2013,-0.005234888,-0.004348336,-0.001523587,-0.005245034,0.008127562,0.017602047,0.00810263,0.001788403,0.018414029,-0.006742569,-0.017530618
24/05/2013,0.005794091,-0.002836208,0.039611341,-0.02281983,-0.009682589,0.001991987,-0.007789747,0.006784637,0.002502972,-0.004482019,-0.008563395
28/05/2013,0.017365819,0.009243027,-0.012535256,0.001907553,-0.011153867,-0.014869823,0.002499164,-0.008369104,0.001099466,0.009058003,0.007773305
29/05/2013,0.001281461,-0.003252806,-0.024538011,-0.011498853,-0.024903783,-0.014751895,0.032236398,0.007919643,-0.01024095,-0.022626139,-0.005546198
30/05/2013,0.017227615,0.000109036,0.00240517,0.000350797,-0.009934012,-0.019317811,0.036777608,0.014790843,0.014527143,0.003962115,-0.004955043
31/05/2013,-0.01869212,-0.017748185,-0.029902863,-0.009503871,-0.012300759,-0.015267416,-0.00174892,-0.004104972,-0.015233659,-0.02127343,-0.012090037
3/6/2013,-0.001833356,0.01088363,0.011656944,-0.017841649,0.003706027,0.012127782,0.017351361,0.002198656,0.017220824,0.00627579,0.021975516
4/6/2013,-0.008292688,-0.007352731,-0.003741366,0.001978032,0.003692538,-0.001748475,-0.012404381,-0.003133275,-0.011280513,-0.007226646,-0.003974409
5/6/2013,-0.018867033,-0.012635818,-0.009219389,-0.009794071,-0.011118377,-0.007201426,0.004344648,-0.009391436,-0.011307068,-0.005006481,-0.016542529
6/6/2013,0.008823865,0.006449007,0.002085287,0.013471906,0.033991517,-0.001057932,0.010065044,-0.015053219,0.012812111,0.009278007,0.006617774
7/6/2013,0.014290061,0.013430005,0.012033587,0.006129715,0.005388472,0.000352749,-0.024327991,0.007611685,0.026998101,0.005313949,0.009446608
10/6/2013,0.001657206,-0.003615355,0.004107162,0.002692087,0.0057558,-0.011531832,0.004138478,-0.006631275,-0.002442352,0.002705118,0.004611209
11/6/2013,-0.0161341,-0.00726902,0.000639978,-0.008279428,-0.00695078,-0.016553714,-0.032681889,-0.002943605,-0.004804216,-0.005299448,-0.014218465
12/6/2013,-0.00581246,-0.007991706,-0.006678278,-0.000180697,-0.005595525,-0.006735276,0.015724548,-0.012439789,-0.008587175,-0.011280995,-0.011978526
13/06/2013,0.018444812,0.017563254,0.010638994,0.01933442,0.014720685,0.030401173,0.009852129,0.008684951,0.012608597,0.013875326,0.005683269
14/06/2013,-0.019385126,-0.008245851,-0.00511321,-0.0064033,0.00845545,-0.001773396,-0.014061606,-0.013648713,-0.003235488,0,0.002102741
17/06/2013,0.013460819,0.010214612,0.011848272,0.012237126,-0.007074046,0.001241519,0.007504305,0.004523931,0.011715354,0.008443552,0.000807576
18/06/2013,0.0048162,0.004579579,0.001012487,0.004748402,0.016428982,0.003538917,-0.025747465,-0.000532588,0.01013966,0.008488575,0.003384939
19/06/2013,-0.010403029,-0.010168537,-0.01825743,-0.022353273,-0.029529569,-0.02885221,-0.021399311,-0.020520796,-0.017739206,-0.017521221,-0.006457126
20/06/2013,-0.020183706,-0.021661361,-0.030880754,-0.027279294,-0.022019205,-0.031441693,-0.069776787,-0.014669759,-0.025856777,-0.026751257,-0.015833111
21/06/2013,-0.009957818,0.004817211,0.028558354,0.014096194,0.011373482,0.033819768,0.01003344,-0.008044882,0.003406413,0.006995131,-0.003460929
24/06/2013,-0.020218581,-0.011238352,-0.011037918,0.003447883,-0.008110523,0.015591381,-0.034877246,-0.026863187,-0.021534802,0.016805763,-0.01028904
25/06/2013,0.022525114,0.007095071,0.001434897,0.012064888,0.026518122,0.014466057,-0.003106117,0.000223756,0.008345534,0.008707907,0.007312724
26/06/2013,0.008032206,0.007712922,0.009215592,0.007489483,0.004352153,0.014958144,-0.060927256,-0.011390264,0.020861088,0.019032577,0.023888658
27/06/2013,0.012304958,0.002669239,0.003482474,0.003369222,0.006689319,0.020230845,0.01784134,-0.010835477,0.02354227,-0.003224508,0.007570266
28/06/2013,-0.006796419,0.003437061,-0.008793971,0.006002036,-0.013025824,-0.006181418,0.077735822,0.006959298,-0.006906911,-0.00985032,0.02158791
1/7/2013,-0.005698855,-0.000553867,0.013289971,-0.010260169,0.000397072,-0.01003977,0.007650149,0.031501322,0.007779127,0.008927791,-0.021427557
2/7/2013,0.013154299,0.003758219,0.005368727,0.00248634,0.005347169,0.006243456,-0.034038406,0.022400021,-0.017293404,-0.000693166,0.004641923
3/7/2013,-0.000568577,0.000551841,0.001656354,-0.000710035,0.007477351,-0.006939767,-0.005155532,0.005504641,0.013897479,0.002423142,0.003825108
5/7/2013,0.022856086,0.009656231,-0.002932222,-0.001598459,0.005669131,-0.001393514,-0.043669127,-0.008064694,0.01265137,0.012482199,0.012332321
8/7/2013,0.013064836,0.007398797,0.005347296,0.011137525,0.00755225,-0.000174234,-0.02773886,-0.005693889,0.001630255,0.00816062,0.0012564
9/7/2013,0.003467454,0.011746081,0.010231953,0.008054719,-0.004112278,0.010752724,0.001848724,0.017435323,0.002965586,0.003268287,0.003290119
10/7/2013,-0.001093401,-0.005586367,0.002886011,0.000871739,-0.008276199,-0.001035885,-0.017139015,-0.003842989,0.007803303,0.004041828,-0.005175433
11/7/2013,0.005638029,0.004836352,0.012082368,0.020181901,0.013169933,0.020002674,0.05519382,0.015471526,0.012995652,0.004806739,0.001885314
12/7/2013,-0.00308798,0.001393175,0.009610566,0.004089955,-0.015745067,-0.007645698,-0.024843471,-0.001827055,-0.04800911,0.003562962,-0.000785288
15/07/2013,-0.001456648,-0.001607326,-0.000490624,0.015525272,-0.008967327,-0.000341668,0.005090862,0.002177856,0.036528745,0.004545366,-0.005038466
16/07/2013,0.002184034,0.000535862,-0.006646655,-0.004699912,0.006385012,0.002215745,0.03141985,0.006436605,-0.0136265,0,-0.010313401
17/07/2013,0.004715178,0.001713269,-0.003465214,0.000672893,0.009107017,0.000170111,-0.014872715,0.000255476,0.005358505,-0.002991028,0.009997729
18/07/2013,0.019706881,0.0097957,0.002618765,0.011367472,-0.015291418,0.005770834,0.001069604,0.00336397,0.026740968,0.000443841,-0.000157961
19/07/2013,-0.00373222,0.008335517,0.013236633,-0.008010936,-0.000400789,-0.005940945,0.022203651,-0.015898213,-0.006244449,0.022588678,0.000473633
22/07/2013,0.007097028,-0.003578562,-0.00184528,0.001841686,0.006386286,0.001870875,0.056247892,0.003195274,-0.000935367,0.00054161,-0.00094749
23/07/2013,0.001943037,0.003893915,-0.003329627,0.001170127,0.001788682,-0.001700764,0.02569666,-0.017319768,0.008665138,0.001516233,-0.001581348
24/07/2013,-0.000706164,-0.002207961,-0.008435828,-0.017016774,0.000397089,-0.022550257,-0.050381131,0.050086062,-0.007823345,-0.000649515,-0.008901369
25/07/2013,-0.002298344,-0.000210993,0.001743179,0.008629028,0.006528762,0.005035883,0.010749189,-0.004573603,-0.002340218,0.002271296,-0.002237929
26/07/2013,-0.007996184,-0.00189703,-0.000249329,0.002691566,0.006094893,0.006216728,0.014923326,0.005662731,-0.010362524,0.002804675,0.00063962
29/07/2013,-0.006443404,-0.008050053,-0.003738511,-0.002691566,0.009169532,-0.005351058,-0.008927448,0.015302136,-0.007509299,0.004085136,0.002874531
30/07/2013,-0.006485571,-0.002342247,0.004360538,0.000673429,-0.020999638,-0.002078542,0.001327694,0.012273827,0.008739477,-0.000429362,0.002230158
31/07/2013,0.007203273,-0.000639604,-0.001741773,-0.00151615,-0.018819185,-0.0292122,-0.00498713,-0.001744116,-0.005976395,0.003535809,0.001112898
1/8/2013,0.014429675,-0.010939895,0.016549732,0.002189225,0.010654551,-0.006090029,-0.013761239,0.009128853,0.015108742,0.002883697,0.047336251
2/8/2013,-0.000884558,-0.008446982,-0.004296451,-0.000168103,0.004787481,-0.012838103,-0.02740851,0.012749933,0.01118361,0.006590112,0.004989865
5/8/2013,-0.006928173,-0.003923337,0.001352284,0.002856643,-0.000796517,-0.001092197,-0.010825848,0.014828965,-0.003713983,-0.006270554,0.00150689
6/8/2013,-0.010932536,-0.001311019,0.004168318,-0.004709421,-0.002392862,-0.002736627,-0.067163723,-0.00898706,-0.00428817,0.000106321,0.00210632
7/8/2013,-0.003430157,-0.00142196,0.002687497,0.009229215,-0.003199331,-0.00899148,-0.005648803,-0.000580468,-0.001267648,-0.001599911,-0.013770264
8/8/2013,-0.008535194,0.004805562,0.002558803,0.006990553,-0.006227952,0.000184189,0.083291005,-0.001993453,-0.005465114,-0.003422581,0.006379307
9/8/2013,-0.005669997,-0.004728812,-0.006470451,0.000663507,-0.006064334,-0.000921734,0.025048372,-0.014332089,-0.00483011,-0.010554638,0.003928339
12/8/2013,-0.007918435,-0.009191134,-0.000245395,-0.004319085,0.006668836,-0.013744771,0.0460272,0.028011858,-0.0104025,-0.003905236,0.003011562
13/08/2013,0.003690649,-0.005465938,0.000490406,0.002991898,-0.010121633,-0.015264713,-0.026895762,0.046427872,0.018910517,0.010918217,-0.010580742
14/08/2013,-0.00258174,-0.005046106,-0.005034215,-0.023340805,-0.005303755,-0.001710638,0.059998765,0.018076287,-0.019678154,-0.025149549,-0.022434373
15/08/2013,-0.016009317,-0.008921048,-0.009521911,-0.01627167,-0.007184829,-0.0149483,0.039292879,-0.001183968,-0.013823997,-0.012760139,-0.01345454
16/08/2013,0,-0.002839776,-0.007232564,-0.00814925,-0.017247499,-0.021863177,-0.025611016,0.008837369,0.00717741,-0.002012159,0.002516903
19/08/2013,-0.027779654,-0.011325625,-0.003887704,-0.001044704,-0.004411033,-0.004351196,-0.009308157,0.010712344,0.012008495,0.012011949,0.016516235
20/08/2013,0.005579246,-0.001035862,-0.000754095,0.008675623,0.008594486,0.017097845,0.022500455,-0.013223856,-0.000859848,-0.007991685,-0.001236856
21/08/2013,-0.009445225,-0.004733153,-0.001887813,-0.010245574,-0.013448103,-0.000780018,-0.030010017,0.002571891,-0.006905256,-0.010418443,-0.00776649
22/08/2013,0.011170827,0.006459207,0.004900921,0.008170372,-0.005303216,0.011053988,0.010310844,0.001192825,0.011767782,-0.006100099,0.011318749
23/08/2013,0.002104855,0.006189323,0.003004535,0.018865203,0.012469921,0.012649187,0.025473302,-0.003864268,0.003228419,0.009204119,-0.010072082
26/08/2013,-0.009988925,-0.004925376,-0.018543732,-0.008873794,-0.014172657,0.007588269,0.008749477,0.003884624,0.000473918,-0.010003307,-0.004526787
27/08/2013,-0.02343829,-0.003104988,-0.007283792,0.002909938,0.000212912,0.000189559,-0.03608958,-0.029007087,-0.022229447,-0.015659215,-0.017517902
28/08/2013,-0.000395532,0.022999592,-0.014468646,0.003923066,-0.008341454,-0.015616749,-0.024271959,0.004716364,0.000580999,0.004168781,0.008876255
29/08/2013,0.002369633,-0.017830266,0.005967445,-0.003581504,0.026702359,0,0.015513636,0.001628988,0.015946557,0.000462041,0.005053682
30/08/2013,-0.003358473,-0.001261131,0.007474625,-0.003079956,-0.009243836,-0.004038787,-0.001886684,-0.009153391,-0.009672093,-0.001849998,-0.010451378
3/9/2013,0.011804239,-0.000114413,-0.001799187,-0.00981683,-0.029341512,-0.012215355,-0.00158747,0.002787477,0.010434188,0.000116031,0.023130739
4/9/2013,0.01436908,0.006974586,-0.003349694,0.00701897,0.016596934,0.014332693,0.0047551,0.020481473,0.012868193,0.005539014,0.012980991
5/9/2013,0.004616361,-0.00468281,-0.004526798,-0.001911093,-0.002997223,-0.005012569,-0.04264228,-0.00688147,0.002628631,0.001609667,0.003831157
6/9/2013,0.008598479,-0.001144972,0.000129241,0.000347778,-0.006452755,0.024815241,0.004281321,0.005938737,-0.005452955,0.001377473,-0.006136807
9/9/2013,0.005691708,0.009013485,0.013006967,0.008481297,-0.009322397,0.021450171,-0.00164434,0.015830658,0.010503726,0.004579127,0.006442417
